station,lat,lon
Bydgoszcz Bielawy,53.1318249,18.0532565
Bydgoszcz Brdyujście,53.1334401,18.1109012
Bydgoszcz Błonie,53.1183445,17.9516345
Bydgoszcz Emilianowo,53.0530393,18.0905108
Bydgoszcz Fordon,53.1464952,18.1578364
Bydgoszcz Główna,53.1352905,17.991601
Bydgoszcz Leśna,53.1443446,18.030854
Bydgoszcz Osowa Góra,53.1481642,17.9121481
Bydgoszcz Politechnika,53.1408643,18.1376313
Bydgoszcz Wschód,53.1278962,18.0838582
Bydgoszcz Zachód,53.1361284,17.9487156
Bydgoszcz Łęgnowo,53.1071543,18.1126399
Bystra Podhalańska,49.6477978,19.7793497
Bystrzyca Górna,50.7824855,16.456493
Bystrzyca Kłodzka,50.2968684,16.652017
Bystrzyca Kłodzka Przedmieście,50.2855574,16.6469871
Bystrzyca koło Lublina,51.3493926,22.6386602
Bytnica,52.1483682,15.1658027
Bytom,50.3470387,18.9231857
Bytom Karb,50.3517998,18.8820999
Bytom Odrzański,51.7308267,15.826918
Bytonia,53.9213044,18.2821987
Bzowiec,50.8289367,22.9083969
Bąk,53.9433333,18.0258333
Bąkowiec,49.6275,20.494167
Bąków,49.9008987,18.7374167
Będziemyśl,50.0564749,21.7789634
Będzin Ksawera,50.3305194,19.1579342
Będzin Miasto,50.319188,19.135537
Będzino,54.20856,15.98863
Będów,52.0667472,15.3080642
Będźmierowice,53.8016988,18.0515773
Błaszki,51.6525206,18.4333114
Błażkowa,50.7356742,15.9834678
Błonie,52.1946065,20.6169694
Błonie Rokitno,52.1889771,20.640072
Błotnica,51.1137117,20.512873
Błotnica Strzelecka,50.4858916,18.4115576
Błądzim,53.4767932,18.1144922
Cegłów,52.1470172,21.7381713
Cekcyn,53.5747748,18.0085468
Celestynów,51.3667288,21.6961065
Cerkiewnik,53.91704,20.40209
Cesky Tesin,,
Chabówka,49.5942396,19.9313885
Chabówka Stadion,49.5897741,19.9203452
Charnowo Słupskie,54.5319305,16.9204322
Charsznica,50.4130511,19.9355395
Chałupki,49.9251425,18.3179213
Chałupy,51.0543372,19.8804472
Chechło,50.3677296,19.5126518
Chełm,51.1355882,23.4939364
Chełm Miasto,51.1380549,23.458321
Chełm Śląski,50.1110253,19.19848
Chełmek,50.1003348,19.2542585
Chełmek Wołowski,51.4508404,16.3842213
Chełmża,53.1923757,18.6125545
Chludowo,52.5557714,16.8447806
Chmielniki Bydgoskie,53.0016213,18.0501366
Chmielów Zagumnie,50.5237316,21.6858017
Chocianów,51.4168327,15.8986889
Chocicza,52.2252642,17.4131413
Chociszew,51.6973131,18.5378433
Chociszewo Rogoziniec,52.3070933,15.7699825
Chociw Łaski,51.4065095,18.9825377
Chociwel,53.4663949,15.3314436
Chocznia,49.8648049,19.4449827
Chocznia Górna,49.8544444,19.4341667
Chodzież,52.9949977,16.9199257
Chojna,52.9629793,14.4314113
Chojnice,53.6999165,17.5703461
Chojnik,53.9649699,19.7990801
Chojnów,51.2722138,15.9393854
Chorzele,53.2610476,20.8978631
Chorzelów,50.3283855,21.4359549
Chorzelów Południowy,50.3303743,21.4434182
Chorzew Siemkowice,51.2096366,18.9411517
Chorzów Batory,50.278276,18.9449635
Chorzów Miasto,50.2984743,18.9492704
Chorzów Stary,50.3168303,18.9569566
Chorzów Uniwersytet,50.2928558,18.9413082
Choszczno,53.1704801,15.4167349
Chotomów,52.411713,20.8814051
Chotyłów,51.9978146,23.3563468
Chronów,51.355688,20.9317298
Chrosna,50.0804922,19.7195831
Chrośnica,52.2672866,16.0026312
Chrusty Nowe,51.6948657,19.7943261
Chruszczobród,50.4165951,19.3131743
Chrzanów,50.1411926,19.4028502
Chrzanów Śródmieście,50.14453,19.4140925
Chrząstawa Mała,51.0819248,17.281897
Chrząstowice,50.3458819,19.6798075
Chrząstowice Olkuskie,50.344354,19.6857075
Chrzęsne,52.44639,21.48333
Chróstnik,51.355548,16.157323
Chróścice,50.783878,17.8153199
Chróścina Nyska,50.6167705,17.3782591
Chróścina Opolska,50.6698356,17.8181411
Chwalibogowo,52.2832484,17.5172948
Chybie,49.8968955,18.8151974
Chybie Mnich,49.8873185,18.8205444
Chynów,51.906049,21.0833255
Chytra,52.7327763,23.5168937
Ciasna,50.7541779,18.6179914
Ciechanowice,50.86498,15.98039
Ciechanów,52.8819798,20.6191479
Ciechanów Przemysłowy,52.8646534,20.6154086
Ciechocinek,52.8839413,18.8032683
Ciecholub,54.1748714,16.8802157
Ciecierzyn,51.13685,18.15559
Cieksyn,52.5742863,20.6677635
Cienin,51.199173,17.0829212
Cienin Kościelny,52.2655128,18.0108574
Cieplewo,54.2320112,18.6486486
Cierpice,50.6698784,17.1647703
Cierpice Kąkol,52.9918988,18.4465382
Cierpigórz,52.9837193,20.8780197
Cieszków,51.6303951,17.35956
Cieszyn,49.7557676,18.6562313
Cieszyn Marklowice,49.7846381,18.6041326
Cieszyn Uniwersytet,49.7507434,18.6487637
Cieszyno Łobeskie,53.5206657,15.4691898
Cikowice,49.9815662,20.3720173
Cisie,52.21984,21.38848
Cisiec,49.59147,19.10488
Cięcina,49.6144759,19.1414653
Cięcina Dolna,49.6213618,19.1519794
Cmolas,50.294938,21.7444047
Cybowo,53.2950948,15.8500295
Cygany,52.2051075,19.2233362
Cykarzew Północny,50.96485,19.17367
Cykarzew Stary,50.95446,19.17278
Czachówek Górny,51.9677114,21.0777261
Czachówek Południowy,51.9582318,21.0815732
Czachówek Wschodni,51.9734724,21.104208
Czaplinek,53.560673,16.2319428
Czarlin,54.0602253,18.7679175
Czarna Białostocka,53.2982835,23.2851013
Czarna Tarnowska,50.0604012,21.2487855
Czarna Woda,53.8441983,18.0984293
Czarnca,50.8096094,19.9274164
Czarne,53.68353,16.94221
Czarne Małe,53.5492,16.33374
Czarniecka Góra,51.1358696,20.5208985
Czarnobór,53.6997792,16.7679192
Czarnowęsy Pomorskie,53.9399139,15.9814525
Czarny Blok,53.2484326,23.2091389
Czastary,51.2581108,18.3209415
Czaszyn,49.4494102,22.2170959
Czechowice-Dziedzice,49.9112146,19.007564
Czechowice-Dziedzice Południowe,49.8902139,19.0242229
Czechowice-Dziedzice Przystanek,49.9057028,19.0223791
Czechowizna,53.34504,22.88475
Czekanów,51.6771524,17.8754158
Czeluścin,51.7291951,17.1645925
