station,month,t2m_c,precip_mm,snowfall_mm,wind_ms,freezing,heavy_rain,windy
Ludynia,8,20.887115478515625,2.6578640937805176,0.0,0.43917045359664075,0,0,0
Ludynia,9,17.266754150390625,3.015758514404297,0.0,1.4318719137318325,0,0,0
Ludynia,10,10.194366455078125,1.3248839378356934,0.0,0.8058273028722613,0,0,0
Ludynia,11,3.207427978515625,1.135421872138977,0.20580552518367767,1.7403737368083567,0,0,0
Ludynia,12,1.639068603515625,1.0195220708847046,0.2414025366306305,1.6996876023655074,0,0,0
Ludynia Dwór,1,-1.346282958984375,1.4892786741256714,0.4807412624359131,2.6210826772349445,1,0,0
Ludynia Dwór,2,5.840606689453125,1.5862178802490234,0.08783116936683655,2.084275115550006,0,0,0
Ludynia Dwór,3,6.726959228515625,1.4334648847579956,0.02053007483482361,1.0878902438365232,0,0,0
Ludynia Dwór,4,10.877838134765625,1.8065581321716309,0.0026188790798187256,1.4193288989710002,0,0,0
Ludynia Dwór,5,16.475982666015625,0.8633041381835938,0.0,1.8297088359220524,0,0,0
Ludynia Dwór,6,19.159942626953125,3.6674447059631348,0.0,0.5871542980660032,0,0,0
Ludynia Dwór,7,21.174224853515625,2.4759998321533203,0.0,0.8206176257800668,0,0,0
Ludynia Dwór,8,20.887115478515625,2.6578640937805176,0.0,0.43917045359664075,0,0,0
Ludynia Dwór,9,17.266754150390625,3.015758514404297,0.0,1.4318719137318325,0,0,0
Ludynia Dwór,10,10.194366455078125,1.3248839378356934,0.0,0.8058273028722613,0,0,0
Ludynia Dwór,11,3.207427978515625,1.135421872138977,0.20580552518367767,1.7403737368083567,0,0,0
Ludynia Dwór,12,1.639068603515625,1.0195220708847046,0.2414025366306305,1.6996876023655074,0,0,0
Lusławice,1,-0.848236083984375,1.9068129062652588,0.6904434561729431,1.8632526033724663,1,0,0
Lusławice,2,6.606231689453125,1.4920202493667603,0.05203858017921448,1.7653807394766488,0,0,0
Lusławice,3,7.475006103515625,2.0252645015716553,0.062035396695137024,1.0274757572021347,0,0,0
Lusławice,4,11.553619384765625,2.487943410873413,0.0004116445779800415,1.192016006231968,0,0,0
Lusławice,5,16.059967041015625,1.3190263509750366,0.0,1.2919783382962038,0,0,0
Lusławice,6,19.499786376953125,3.7133700847625732,0.0,0.5635189523719353,0,0,0
Lusławice,7,22.094146728515625,1.8197674751281738,0.0,0.692980543854415,0,0,0
Lusławice,8,21.473052978515625,2.4816131591796875,0.0,0.49971129940501485,0,0,0
Lusławice,9,17.411285400390625,2.2668187618255615,0.0,1.1315394685778537,0,0,0
Lusławice,10,10.557647705078125,1.7171272039413452,0.0,0.959630309204677,0,0,0
Lusławice,11,3.250396728515625,1.2228246927261353,0.21346285939216614,1.2328524752930627,0,0,0
Lusławice,12,1.463287353515625,1.2344043254852295,0.5510002374649048,0.9174513683652376,0,0,0
Lutol Suchy,1,0.727935791015625,0.9934834837913513,0.22135210037231445,2.2428410922515654,0,0,0
Lutol Suchy,2,6.360137939453125,1.8280898332595825,0.05137734115123749,2.0927906786524395,0,0,0
Lutol Suchy,3,7.732818603515625,1.018683671951294,0.0004973262548446655,1.0002737217894768,0,0,0
Lutol Suchy,4,11.139556884765625,1.4972323179244995,0.0036712735891342163,1.316715483981881,0,0,0
Lutol Suchy,5,17.311920166015625,1.7911994457244873,0.0,1.594244485859242,0,0,0
Lutol Suchy,6,19.046661376953125,1.6488738059997559,0.0,0.8464127508515796,0,0,0
Lutol Suchy,7,20.848052978515625,2.380237340927124,0.0,0.9309818109087233,0,0,0
Lutol Suchy,8,21.635162353515625,1.530874252319336,0.0,0.2006889527963214,0,0,0
Lutol Suchy,9,17.848785400390625,2.063581705093384,0.0,0.8406688187413129,0,0,0
Lutol Suchy,10,11.491241455078125,1.0705732107162476,0.0,0.9018256255345116,0,0,0
Lutol Suchy,11,4.955474853515625,1.7468687295913696,0.13441778719425201,1.8133911358513235,0,0,0
Lutol Suchy,12,3.285552978515625,1.210018515586853,0.21796487271785736,2.0613344314958693,0,0,0
Lutoryż,1,-1.049407958984375,1.877830147743225,0.7683457732200623,2.2832580461168615,1,0,0
Lutoryż,2,6.451934814453125,1.4737216234207153,0.03814511001110077,2.2835503179295253,0,0,0
Lutoryż,3,7.101959228515625,1.9512355327606201,0.05628727376461029,1.0655182791623279,0,0,0
Lutoryż,4,11.633697509765625,2.1707797050476074,0.0,1.425876439866126,0,0,0
Lutoryż,5,16.227935791015625,1.321932077407837,0.0,1.514247174038508,0,0,0
Lutoryż,6,19.890411376953125,3.3091163635253906,0.0,0.7069242881764533,0,0,0
Lutoryż,7,22.271881103515625,2.487510919570923,0.0,0.6424971756230361,0,0,0
Lutoryż,8,21.420318603515625,2.7114336490631104,0.0,0.43400504884356605,0,0,0
Lutoryż,9,17.628082275390625,2.216125011444092,0.0,1.2449107482386306,0,0,0
Lutoryż,10,10.399444580078125,1.7161362171173096,0.0,1.187197647929897,0,0,0
Lutoryż,11,3.062896728515625,1.0935496091842651,0.23380108177661896,1.817074821170666,0,0,0
Lutoryż,12,1.367584228515625,1.2018005847930908,0.5351323485374451,1.4355761639107965,0,0,0
Luzino,1,-0.404876708984375,1.6244134902954102,0.8182860612869263,2.5117593956337307,1,0,0
Luzino,2,3.862091064453125,1.9773361682891846,0.2630501985549927,2.356346089243925,0,0,0
Luzino,3,5.637115478515625,1.2999132871627808,0.08945725858211517,1.503617125597375,0,0,0
Luzino,4,8.561431884765625,2.1415064334869385,0.09805522859096527,1.4158857575589243,0,0,0
Luzino,5,15.278717041015625,1.2433582544326782,0.0,1.8040111204040128,0,0,0
Luzino,6,16.829864501953125,3.322803258895874,0.0,1.4053786399695585,0,0,0
Luzino,7,18.611724853515625,4.5581464767456055,0.0,1.6663622433752996,0,0,0
Luzino,8,18.699615478515625,2.358358144760132,0.0,1.2888915557622944,0,0,0
Luzino,9,16.817535400390625,1.2220163345336914,0.0,1.1727687643126925,0,0,0
Luzino,10,10.366241455078125,0.9686865210533142,0.0,1.7958414290165725,0,0,0
Luzino,11,4.750396728515625,1.5634950399398804,0.4149824380874634,2.9658856991277576,0,0,0
Luzino,12,3.676177978515625,1.8301899433135986,0.06729923188686371,2.728168212364482,0,0,0
Lębork,1,-0.547454833984375,1.815614104270935,0.8558425903320312,2.238951036140392,1,0,0
Lębork,2,3.967559814453125,2.1422622203826904,0.1761745661497116,2.136979106720435,0,0,0
Lębork,3,5.805084228515625,1.2011557817459106,0.06425566971302032,1.5412474681218096,0,0,0
Lębork,4,8.772369384765625,2.3781144618988037,0.13425014913082123,1.2225725062440336,0,0,0
Lębork,5,15.708404541015625,1.5170925855636597,0.0,1.8154789762863686,0,0,0
Lębork,6,16.915802001953125,3.2820932865142822,0.0,1.3552584746391867,0,0,0
Lębork,7,18.580474853515625,4.563153266906738,0.0,1.560879915554206,0,0,0
Lębork,8,18.728912353515625,2.208258628845215,0.0,1.1653122416129653,0,0,0
Lębork,9,16.829254150390625,1.4810879230499268,0.0,1.241498985849308,0,0,0
Lębork,10,10.290069580078125,1.1183314323425293,0.0,1.6461315085203807,0,0,0
Lębork,11,4.517974853515625,1.6857068538665771,0.5062483549118042,2.532192487324294,0,0,0
Lębork,12,3.539459228515625,1.737795352935791,0.04166364669799805,2.399652940235921,0,0,0
Lębork Mosty,1,-0.352142333984375,1.7488679885864258,0.8407496213912964,2.2827678370804967,1,0,0
Lębork Mosty,2,4.028106689453125,2.007540702819824,0.20445138216018677,2.1903012403110753,0,0,0
Lębork Mosty,3,5.885162353515625,1.2012749910354614,0.07027760148048401,1.4759746766275923,0,0,0
Lębork Mosty,4,8.745025634765625,2.2664079666137695,0.10121241211891174,1.2537652215839143,0,0,0
Lębork Mosty,5,15.651763916015625,1.3804638385772705,0.0,1.7789383523755682,0,0,0
Lębork Mosty,6,16.984161376953125,3.1860477924346924,0.0,1.433985094164727,0,0,0
Lębork Mosty,7,18.705474853515625,4.246809005737305,0.0,1.6471892080445512,0,0,0
Lębork Mosty,8,18.844146728515625,2.341393232345581,0.0,1.2707880425768612,0,0,0
Lębork Mosty,9,16.923004150390625,1.4275107383728027,0.0,1.2123385374029632,0,0,0
Lębork Mosty,10,10.473663330078125,0.9884976148605347,0.0,1.6968301468482918,0,0,0
Lębork Mosty,11,4.775787353515625,1.7466228008270264,0.5251038670539856,2.648145490827767,0,0,0
Lębork Mosty,12,3.719146728515625,1.7698477506637573,0.053375959396362305,2.5121844647803546,0,0,0
Lębork Nowy Świat,1,-0.547454833984375,1.815614104270935,0.8558425903320312,2.238951036140392,1,0,0
Lębork Nowy Świat,2,3.967559814453125,2.1422622203826904,0.1761745661497116,2.136979106720435,0,0,0
Lębork Nowy Świat,3,5.805084228515625,1.2011557817459106,0.06425566971302032,1.5412474681218096,0,0,0
Lębork Nowy Świat,4,8.772369384765625,2.3781144618988037,0.13425014913082123,1.2225725062440336,0,0,0
Lębork Nowy Świat,5,15.708404541015625,1.5170925855636597,0.0,1.8154789762863686,0,0,0
Lębork Nowy Świat,6,16.915802001953125,3.2820932865142822,0.0,1.3552584746391867,0,0,0
Lębork Nowy Świat,7,18.580474853515625,4.563153266906738,0.0,1.560879915554206,0,0,0
Lębork Nowy Świat,8,18.728912353515625,2.208258628845215,0.0,1.1653122416129653,0,0,0
Lębork Nowy Świat,9,16.829254150390625,1.4810879230499268,0.0,1.241498985849308,0,0,0
Lębork Nowy Świat,10,10.290069580078125,1.1183314323425293,0.0,1.6461315085203807,0,0,0
Lębork Nowy Świat,11,4.517974853515625,1.6857068538665771,0.5062483549118042,2.532192487324294,0,0,0
Lębork Nowy Świat,12,3.539459228515625,1.737795352935791,0.04166364669799805,2.399652940235921,0,0,0
Lędziechowo,1,-0.199798583984375,1.7742670774459839,0.8090464472770691,2.256201923512163,1,0,0
Lędziechowo,2,4.133575439453125,2.013683795928955,0.19218400120735168,2.180669156611864,0,0,0
Lędziechowo,3,6.008209228515625,1.1716738939285278,0.06111152470111847,1.5017863769867148,0,0,0
Lędziechowo,4,8.823150634765625,2.2883498668670654,0.10018795728683472,1.203790379296054,0,0,0
Lędziechowo,5,15.749420166015625,1.3547146320343018,0.0,1.8017040007253369,0,0,0
Lędziechowo,6,17.029083251953125,3.135890483856201,0.0,1.4334255816540438,0,0,0
Lędziechowo,7,18.771881103515625,4.25423002243042,0.0,1.648195999284874,0,0,0
Lędziechowo,8,18.935943603515625,2.294842004776001,0.0,1.2675860929278455,0,0,0
Lędziechowo,9,17.038238525390625,1.4820787906646729,0.0,1.2437617989005327,0,0,0
Lędziechowo,10,10.590850830078125,0.9994425177574158,0.0,1.6926004979150866,0,0,0
Lędziechowo,11,4.892974853515625,1.8063466548919678,0.5470290780067444,2.6228302616820285,0,0,0
Lędziechowo,12,3.816802978515625,1.7277593612670898,0.049369409680366516,2.498986145941479,0,0,0
Machnacz,1,-3.459564208984375,1.3090304136276245,1.0730047225952148,1.641849717554129,1,0,0
Machnacz,2,3.881622314453125,1.5266058444976807,0.2454947680234909,1.6287102528334585,0,0,0
Machnacz,3,5.008209228515625,1.2488692998886108,0.14843977987766266,1.5158628768397129,0,0,0
Machnacz,4,10.205963134765625,2.198361873626709,0.0009797513484954834,1.5517407909260847,0,0,0
Machnacz,5,16.237701416015625,0.867580771446228,0.0,1.6147553507795054,0,0,0
Machnacz,6,19.163848876953125,2.22678542137146,0.0,0.5690350695141848,0,0,0
Machnacz,7,21.281646728515625,2.4951252937316895,0.0,0.8269953540377032,0,0,0
Machnacz,8,20.605865478515625,1.96770179271698,0.0,0.439313268225478,0,0,0
Machnacz,9,18.087066650390625,0.6781015396118164,0.0,1.5469633370580367,0,0,0
Machnacz,10,9.364288330078125,1.5453838109970093,0.0,0.8609161554136991,0,0,0
Machnacz,11,3.428131103515625,1.2567695379257202,0.17614848911762238,2.020185507407931,0,0,0
Machnacz,12,1.740631103515625,1.4129574298858643,0.21989084780216217,1.571630166505122,0,0,0
Majdan,1,-3.367767333984375,1.2296966314315796,0.9810067415237427,1.8035617838571774,1,0,0
Majdan,2,3.949981689453125,1.4500175714492798,0.22751837968826294,1.7376784625490576,0,0,0
Majdan,3,4.992584228515625,1.224207878112793,0.07120147347450256,1.597772203937086,0,0,0
Majdan,4,10.309478759765625,2.025381565093994,0.0002738088369369507,1.6566343671362316,0,0,0
Majdan,5,16.075592041015625,0.7204616069793701,0.0,1.6733892524069929,0,0,0
Majdan,6,19.099395751953125,2.721615791320801,0.0,0.5787216278860653,0,0,0
Majdan,7,21.226959228515625,3.153726816177368,0.0,0.7942479448826764,0,0,0
Majdan,8,20.492584228515625,2.6432533264160156,0.0,0.3930145686671228,0,0,0
Majdan,9,17.975738525390625,0.5149263739585876,0.0,1.5941726125595612,0,0,0
Majdan,10,9.315460205078125,1.5583776235580444,0.0,0.9230678118325252,0,0,0
Majdan,11,3.430084228515625,1.2026336193084717,0.15399977564811707,2.1042694762411553,0,0,0
Majdan,12,1.672271728515625,1.2381519079208374,0.18365122377872467,1.6271943575722034,0,0,0
Majdan Królewski,1,-1.068939208984375,1.663834571838379,0.5691647529602051,2.0820678241711277,1,0,0
Majdan Królewski,2,6.453887939453125,1.2322781085968018,0.021047890186309814,1.8772888891652635,0,0,0
Majdan Królewski,3,7.107818603515625,1.7476335763931274,0.02827867865562439,0.9806965175434834,0,0,0
Majdan Królewski,4,11.770416259765625,1.8139714002609253,0.0,1.258654900620033,0,0,0
Majdan Królewski,5,17.026763916015625,0.9254568815231323,0.0,1.5432273328605055,0,0,0
Majdan Królewski,6,20.107208251953125,3.1073174476623535,0.0,0.44890591475800556,0,0,0
Majdan Królewski,7,22.527740478515625,2.3909811973571777,0.0,0.720996344681888,0,0,0
Majdan Królewski,8,21.766021728515625,2.1728832721710205,0.0,0.5018960818214137,0,0,0
Majdan Królewski,9,18.137847900390625,2.5757644176483154,0.0,1.2590812910111382,0,0,0
Majdan Królewski,10,10.532257080078125,1.5555166006088257,0.0,0.7778851795704003,0,0,0
Majdan Królewski,11,3.502349853515625,1.1056195497512817,0.17679855227470398,1.5003886549241405,0,0,0
Majdan Królewski,12,1.891021728515625,0.9023318886756897,0.28057023882865906,1.2082230508665213,0,0,0
Majdan Królewski Podlasek,1,-1.068939208984375,1.663834571838379,0.5691647529602051,2.0820678241711277,1,0,0
Majdan Królewski Podlasek,2,6.453887939453125,1.2322781085968018,0.021047890186309814,1.8772888891652635,0,0,0
Majdan Królewski Podlasek,3,7.107818603515625,1.7476335763931274,0.02827867865562439,0.9806965175434834,0,0,0
Majdan Królewski Podlasek,4,11.770416259765625,1.8139714002609253,0.0,1.258654900620033,0,0,0
Majdan Królewski Podlasek,5,17.026763916015625,0.9254568815231323,0.0,1.5432273328605055,0,0,0
Majdan Królewski Podlasek,6,20.107208251953125,3.1073174476623535,0.0,0.44890591475800556,0,0,0
Majdan Królewski Podlasek,7,22.527740478515625,2.3909811973571777,0.0,0.720996344681888,0,0,0
Majdan Królewski Podlasek,8,21.766021728515625,2.1728832721710205,0.0,0.5018960818214137,0,0,0
Majdan Królewski Podlasek,9,18.137847900390625,2.5757644176483154,0.0,1.2590812910111382,0,0,0
Majdan Królewski Podlasek,10,10.532257080078125,1.5555166006088257,0.0,0.7778851795704003,0,0,0
Majdan Królewski Podlasek,11,3.502349853515625,1.1056195497512817,0.17679855227470398,1.5003886549241405,0,0,0
Majdan Królewski Podlasek,12,1.891021728515625,0.9023318886756897,0.28057023882865906,1.2082230508665213,0,0,0
Majdan Stuleński,1,-1.481048583984375,1.5036656856536865,0.6942348480224609,2.214485006789101,1,0,0
Majdan Stuleński,2,5.354278564453125,1.3041836023330688,0.14013610780239105,2.013717838490336,0,0,0
