station,delay_mean,delay_p90,traffic,lat,lon,t2m_mean,precip_mean,wind_mean,freezing_rate,heavy_rain_rate,windy_rate
Sycze,0.10108403352682753,0.18239247311827955,282.05555555555554,52.4300857,23.0054796,10.884806315104166,1.7137017647425334,1.4544997533025432,0.08333333333333333,0.0,0.0
Szachy,0.037839846968210626,0.053475935828877,579.9166666666666,51.9882963,22.9146405,11.220418294270834,1.552548497915268,1.4302575054739437,0.08333333333333333,0.0,0.0
Szadek,0.0,0.0,0.08333333333333333,51.69175,18.97703,11.4569091796875,1.8270244300365448,1.5017478334715288,0.08333333333333333,0.0,0.0
Szadkowice,0.037116823254373724,0.0817261648493581,338.55555555555554,51.6664717,18.9766374,11.4569091796875,1.8270244300365448,1.5017478334715288,0.08333333333333333,0.0,0.0
Szaflary,0.09529555128266524,0.1929092805005213,911.8333333333334,49.4229109,20.0260584,8.663614908854166,2.735831707715988,0.7663127702877134,0.16666666666666666,0.0,0.0
Szaflary Centrum,0.09929416796755354,0.2012383900928792,911.8333333333334,49.4233997,20.0190341,8.663614908854166,2.735831707715988,0.7663127702877134,0.16666666666666666,0.0,0.0
Szalowa,0.07901531339031338,0.125,18.833333333333332,49.6820756,21.022621,10.530314127604166,2.2083560625712075,0.9805134143657784,0.08333333333333333,0.0,0.0
Szamotuły,0.0905159436256609,0.19049138998643625,729.9333333333333,52.6120328,16.5831241,11.666544596354166,1.5747040361166,1.3481898997280106,0.0,0.0,0.0
Szaniawy,0.025611486619784147,0.05048430025988365,383.8888888888889,51.9469265,22.5448868,11.249552408854166,1.5115060309569042,1.3181682386209828,0.08333333333333333,0.0,0.0
Szarów,0.10260155897886042,0.17538512808935616,840.7777777777778,51.94962,18.8716938,11.637410481770834,1.7486676573753357,1.5145048309930136,0.0,0.0,0.0
Szastarka,0.08079303548911075,0.1083333333333333,484.8333333333333,50.8563735,22.3264392,11.061075846354166,1.8174448410669963,1.2321536184303779,0.08333333333333333,0.0,0.0
Szczaniec,0.35572269189970224,0.4352941176470588,333.75,52.2692546,15.6855248,11.865275065104166,1.564976359407107,1.3201807490595205,0.0,0.0,0.0
Szczawne Kulaszne,0.052498759920634915,0.18000000000000044,7.833333333333333,49.4072176,22.1429552,9.449910481770834,2.3433571457862854,0.9441322958704994,0.16666666666666666,0.0,0.0
